term,icse,vldb
formalizing,12,0
medium,1,0
rf,2,0
spl,1,0
undergraduate,4,0
detection,35,3
anonymization,0,3
auditing,1,4
linkage,0,6
loading,0,2
normal,1,0
stores,0,1
3,6,0
enterprise,14,1
understanding,39,6
external,0,3
maintaining,3,10
carbon,6,0
university,4,0
improving,75,14
resident,0,1
approximation,1,2
table,2,1
cloud,17,2
managing,21,24
consistent,1,2
progressive,1,7
page,1,2
challenges,27,10
chain,4,0
automatic,76,14
evolving,12,0
band,0,0
carrier,1,0
cavity,1,0
checker,0,0
cognitive,4,0
contract,7,0
controller,2,0
corba,1,0
doping,3,0
enterprises,0,0
initial,7,0
offshore,1,0
reusable,1,0
validating,7,0
visualizing,9,0
waveguide,3,0
adoption,8,0
enhancement,6,0
segmentation,3,0
science,6,2
clustering,8,7
composition,12,2
applying,29,6
archiving,0,0
biodiversity,0,2
declustering,0,2
differentially,0,3
directory,0,1
elephants,0,0
instance,0,3
locks,0,1
outlier,0,3
preface,0,4
recursion,0,0
reordering,0,1
september,0,0
sketches,0,1
starburst,0,1
summaries,0,0
timestamp,0,1
topss,0,0
transposed,0,2
triggers,0,1
warping,0,0
prediction,18,2
operations,1,3
presence,1,4
layer,2,0
task,7,1
sensor,10,4
activities,3,0
double,4,1
mobility,7,1
extensible,7,5
processor,3,0
extended,10,10
editorial,1,5
freshness,0,0
geo,1,2
lists,0,0
multiversion,0,2
native,0,1
near,0,1
nothing,1,0
shedding,1,0
surface,8,0
abstractions,5,0
anomaly,5,0
breakdown,3,0
characterizing,13,0
colony,0,0
companies,0,0
contracts,5,0
discussion,7,0
face,6,0
organic,2,0
reviews,7,0
socio,5,0
substrate,4,0
symposium,4,0
zno,2,0
coding,0,0
company,3,0
module,2,0
nets,2,0
client,6,4
applications,36,9
enhancing,18,2
scenarios,6,0
second,23,0
integrating,27,19
channel,0,0
c,2,3
legacy,12,0
regression,8,0
at,14,4
context,14,6
bioinformatics,1,2
private,0,4
read,0,4
visualization,16,1
al,4,0
centered,7,0
noise,1,1
step,3,0
analog,2,0
beam,3,0
capacitive,1,0
characteristic,2,0
circuits,0,0
cmm,1,0
conformance,2,0
dependent,1,0
detect,3,0
detector,0,0
eclipse,2,0
inspections,7,0
pressure,2,0
programmers,1,0
smells,1,0
stress,1,0
switch,2,0
transmission,1,0
writing,6,0
recursive,1,3
algebraic,4,11
replication,5,2
game,6,0
analytic,1,2
knn,1,1
throughput,3,2
how,46,9
net,2,1
third,17,0
runtime,9,1
resolution,1,4
inter,7,0
modularity,5,1
automation,6,2
problem,8,3
set,7,9
pattern,17,18
2009,1,0
academic,3,0
accelerometer,1,0
chemical,3,0
culture,1,0
ecosystems,3,0
electric,2,0
experimentation,3,0
factory,4,0
fixing,2,0
floss,2,0
governance,3,0
invariant,6,0
maintainability,4,0
programmer,2,0
reconfiguration,1,0
sensors,2,0
styles,1,0
sup,2,0
synchronous,3,0
timed,3,0
twenty,3,0
vulnerabilities,2,0
water,1,0
workbench,0,0
working,4,0
planning,5,1
fuzzy,18,3
scaling,4,9
an,502,136
services,12,9
3d,5,0
systems,76,30
low,20,3
descriptions,2,1
educational,5,0
means,0,1
realization,9,0
cross,11,0
small,4,1
architectures,18,5
structures,5,8
contention,0,1
cpu,0,0
disclosure,0,1
grams,0,0
heterogenous,0,2
interesting,1,2
locally,0,1
lp,0,0
norms,0,0
ontological,1,1
prefetching,0,1
publication,0,2
reconciliation,1,2
regions,0,1
rights,0,1
serial,1,1
skewed,0,2
storing,1,3
document,6,9
diagram,3,0
parameters,1,1
sensing,6,0
1978,0,1
acyclic,0,2
addressable,0,0
anonymizing,0,2
authenticated,0,1
bitmap,0,0
bookmark,0,0
cient,0,0
codd,0,0
coral,0,3
counts,0,0
cpus,0,0
cubing,0,0
cupid,0,0
curse,0,1
disseminating,0,2
distances,0,0
dream,0,0
encipherment,0,2
equijoin,0,0
euclidean,0,0
expensive,0,0
expressed,0,1
extendible,0,1
frequently,0,0
gamma,0,2
genomic,0,1
granularities,0,0
guessing,0,1
hippocratic,0,0
hypothetical,0,2
ingres,0,1
intervals,0,1
inverse,0,2
iro,0,0
maximal,0,2
maximization,0,0
microaggregation,0,0
microdata,0,1
monotonic,0,1
multiprocessors,0,0
navigational,0,0
nosql,0,0
objectrank,0,3
oodbms,0,0
oracle8i,0,1
ordbms,0,0
outer,0,2
phrase,0,2
piecewise,0,0
predictions,0,1
probing,0,0
providers,0,1
rdb,0,1
restart,0,0
sabre,0,2
schemasql,0,2
scoring,0,0
sky,0,0
stars,0,0
stored,0,2
subgraphs,0,1
sundgren,0,0
surfing,0,1
thousand,0,0
timber,0,3
timestamping,0,2
tuples,0,0
voronoi,0,2
wavecluster,0,3
xwave,0,3
metadata,2,3
predicate,2,1
high,39,24
adopting,5,0
assertion,2,0
ast,1,0
audio,1,0
capacitor,1,0
condition,1,0
correction,1,0
coupler,1,0
diffusion,2,0
diodes,0,0
economy,3,0
erp,1,0
examination,3,0
families,4,0
generate,0,0
help,0,0
interference,2,0
malaysia,0,0
mu,0,0
parameterized,4,0
perspectives,1,0
professional,2,0
radar,3,0
reflective,1,0
resonance,1,0
risks,2,0
rough,2,0
shape,2,0
shelf,0,0
sic,1,0
solar,2,0
sound,7,0
stakeholder,2,0
successful,1,0
thickness,2,0
tourism,3,0
transistors,0,0
urban,2,0
uwb,0,0
for,322,175
framework,23,4
cad,0,3
regular,1,1
summarization,3,2
device,6,0
prototyping,9,1
description,8,1
measuring,23,4
scale,12,14
bottom,1,0
counting,0,4
filters,0,2
guest,2,5
ordered,0,2
preservation,0,3
shortest,1,3
methodology,13,1
complete,3,0
1st,16,0
4,2,0
coupling,6,0
ide,2,0
keynote,1,0
release,5,1
soft,4,0
grouping,0,1
ontologies,0,4
outsourced,1,2
sliding,0,3
learned,6,0
slicing,7,2
tasks,1,0
tests,2,0
robust,4,4
sequences,0,0
exploration,5,2
highly,2,2
interactive,24,11
